disease_name,species,symptoms,causes,home_care,vet_urgent
Wet Tail (Proliferative Ileitis),仓鼠,"严重腹泻（常带恶臭）,尾巴潮湿脏污,精神萎靡,食欲不振,脱水,腹部肿胀,步态不稳",细菌感染（Lawsonia intracellularis），常见于幼年仓鼠。诱发因素包括高压力环境（如刚搬家、同笼争斗）、卫生条件差、饮食突变等。,立即就医前的应急措施：提供温暖安静的环境；使用宠物专用电解质水防治脱水；暂停新鲜蔬果；严格清洁笼具。注意：家庭护理不能替代兽医治疗！,是
Pneumonia,仓鼠,"呼吸困难,喘息,食欲不振,精神萎靡,鼻或眼分泌物增多,咳嗽或打喷嚏,湿罗音",细菌感染（最常见），病毒感染，真菌感染，吸入刺激性粉尘或异物，免疫力低下,保持环境温暖、清洁、无粉尘，提供易消化的食物和清洁饮水，避免应激，隔离病鼠,是
Abscesses,仓鼠,"皮下肿胀或肿块,红肿,局部脱毛,分泌物（脓液）,食欲减退,活动减少",细菌感染（常见于咬伤、划伤或牙齿问题引起的伤口）,保持笼舍清洁干燥，避免挤压肿块，观察症状变化（不可自行用药）,是
Mites,仓鼠,"皮肤瘙痒,过度抓挠,脱毛,皮肤发红或结痂,皮肤破损",接触被螨虫污染的垫料、环境或已感染动物,彻底清洁消毒笼具及用品，更换无菌垫料；隔离病鼠；避免使用人用药物,是
Ringworm,仓鼠,"圆形脱毛区域,皮肤鳞屑,瘙痒,皮肤发红",真菌感染,"保持笼具清洁干燥,隔离患病仓鼠,避免接触其他宠物或人",是
Diarrhea (non-specific),仓鼠,"粪便稀软或水样,排便次数增多,肛门周围毛发污秽,精神萎靡,食欲减退",常见原因包括饮食不当（如水分过多、食物变质）、环境应激（温度变化、新环境）、细菌感染（如大肠杆菌）或寄生虫感染（如球虫）,暂停喂食新鲜蔬果及高水分食物，提供干草和专用颗粒粮；确保饮水清洁；保持笼舍温暖干燥卫生；减少环境干扰,是
Constipation,仓鼠,"排便减少或停止,粪便干硬细小,腹部肿胀,食欲不振","脱水,饮食中纤维不足,运动量少,误食异物","提供充足新鲜饮水,喂食高纤维蔬菜(如西兰花),轻柔按摩腹部,增加活动空间",是
Malocclusion,仓鼠,"流口水,食欲减退,体重下降,牙齿过长或弯曲,口腔有伤口,咀嚼困难",遗传因素、饮食缺乏磨牙材料（如硬食物/磨牙玩具）、牙齿损伤或感染导致异常生长,提供磨牙玩具和硬质食物（如干草/谷物），但需立即就医处理已形成的过长牙齿,是
Diabetes Mellitus,仓鼠,"多饮多尿,食欲增加但体重减轻,嗜睡,白内障",遗传易感性或肥胖导致的胰岛素分泌不足或功能障碍,立即调整饮食：严格限制高糖水果/零食，提供高纤维专业粮；确保清洁饮水供应；但家庭护理不可替代专业治疗,是
Amyloidosis,仓鼠,"食欲不振,体重下降,腹部肿胀（腹胀）,嗜睡,脱水,被毛粗糙",淀粉样蛋白在器官（尤其是肝脏）中的异常沉积，通常与慢性炎症或长期压力有关,提供安静舒适的环境，确保易消化食物和充足饮水，避免压力因素，密切监测状况（但家庭护理无法治愈）,是
Hamster Polyomavirus,仓鼠,"皮肤或内脏肿瘤,体重减轻,食欲下降,嗜睡,呼吸困难",多瘤病毒感染,"保持环境清洁卫生,提供高营养食物及充足饮水,避免与其他仓鼠接触,减少环境压力",是
Lymphocytic Choriomeningitis Virus,仓鼠,"食欲不振,嗜睡,体重减轻,颤抖,运动失调,结膜炎,抽搐",主要通过接触被感染的野生小鼠或其排泄物（尿液、粪便）传播，也可通过被污染的食物、垫料或直接接触传播。,立即隔离病鼠，提供温暖安静的环境；确保充足饮水，提供易消化的食物；严格清洁笼具并消毒，避免与其他仓鼠或宠物接触。,是
Pyometra,仓鼠,"阴道分泌物（脓性或带血）,腹部肿胀,食欲减退,嗜睡,饮水量增加,排尿增多",未绝育雌性仓鼠发情周期后孕酮水平升高，导致子宫细菌感染（如大肠杆菌）,此病无法家庭护理，需立即就医。仅可保持环境清洁、减少应激,是
False Pregnancy,仓鼠,"筑巢行为,乳腺肿胀或分泌乳汁,腹部膨大,行为改变（如易怒或攻击性增强）",内分泌失调导致身体误以为怀孕,"减少环境刺激,提供筑巢材料但避免过度关注,勿触摸肿胀腹部,保持环境安静,观察症状持续时间（通常1-2周）",否
Mammary Tumors,仓鼠,"腹部肿块或肿胀,溃疡或出血,体重下降,食欲减退,活动减少",激素影响（常见于未绝育的雌性仓鼠）,保持笼舍清洁舒适，提供高营养易消化的食物，避免挤压肿块，密切观察肿块变化,是
Skin Tumors,仓鼠,"皮肤肿块或肿胀,溃疡或出血,局部毛发脱落,肿块快速增大,行为改变（如食欲减退、活动减少）",遗传因素、病毒感染、环境刺激物接触或激素水平异常,保持饲养环境清洁卫生，避免笼内存在尖锐物品；提供营养均衡的食物；定期观察肿瘤大小及仓鼠行为；切勿自行挤压或处理肿瘤,是
Strokes,仓鼠,"头部倾斜,失去平衡,转圈行走,单侧肢体无力,眼球震颤,抽搐,昏迷",脑部血管破裂（出血性中风）或阻塞（缺血性中风）导致脑组织损伤，常见诱因包括高血压、心血管疾病、肿瘤或外伤,保持环境温暖、安静、黑暗，避免噪音和强光刺激；提供易取食的软质食物和充足饮水（可垫高容器）；轻柔辅助无法自主进食的仓鼠；避免自行给药,是
Otitis Interna,仓鼠,"头部倾斜,转圈运动,失去平衡,眼球震颤（眼球不自主晃动）,食欲不振,嗜睡",通常由中耳炎（感染）扩散引起，细菌感染是主要原因。也可能是上呼吸道感染的并发症。,**立即就医是首要的。** 在家中，保持环境安静、温暖，移除笼内高处物品以防跌落受伤，提供易获取的食物和水。避免自行清洁耳道或使用药物。,是
Barbering,仓鼠,"毛发参差不齐,局部秃斑,皮肤裸露或发红",环境压力（笼舍拥挤、噪音、缺乏藏身处）引发的过度理毛行为,扩大笼舍空间，增加躲避屋和玩具，减少环境噪音，若同伴互咬需分笼饲养,否
Cushing's Disease,仓鼠,"脱毛（尤其身体两侧）, 皮肤变薄脆弱, 饮水量增加, 排尿量增加, 体重增加或腹部膨大, 肌肉萎缩, 嗜睡",肾上腺皮质功能亢进，通常由肾上腺肿瘤或垂体肿瘤导致,"保持环境清洁低应激, 提供高蛋白均衡饮食, 确保饮水充足, 避免使用任何含激素补剂",是
